"CRN","UNIT_NUM","PERSON_NUM","PERSON_TYPE","INJ_SEVERITY","RESTRAINT_HELMET","AIRBAG_PADS","SEAT_POSITION","EJECTION_IND","AGE","SEX","EJECT_PATH_CD","EXTRIC_IND","TRANSPORTED","DVR_LIC_STATE","DVR_PED_CONDITION","PED_LOCATION","PED_SIGNAL","CLOTHING_TYPE","CRASH_YEAR","COUNTY","COUNTY_NAME","MUNICIPALITY"
"2017068007","1","1","1","0","01","00","01","0","53","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017068007","2","1","7","3","00","00","00","0","55","M","0","0","Y","  ","9","01","2","9","2017","67","Philadelphia","67301"
"2017097837","1","1","1","4","99","00","01","0","31","F","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017097852","1","1","1","4","99","00","01","0","33","F","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017097852","2","1","1","0","01","99","01","1","60","M","0","1","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017097861","1","1","1","0","99","00","01","0","59","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017097861","2","1","1","0","99","00","01","0","44","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017097861","2","2","2","0","99","00","99","0","99","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017097861","2","3","2","0","99","00","99","0","99","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017097861","2","4","2","4","99","00","99","0","16","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017097874","1","1","1","0","03","00","01","0","52","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017097874","2","1","7","4","00","00","00","0","43","M","0","0","Y","  ","1","02","2","9","2017","67","Philadelphia","67301"
"2017097881","1","1","1","0","00","00","01","0","55","M","0","0"," ","TN","0","  "," "," ","2017","67","Philadelphia","67301"
"2017097881","2","1","8","8","99","99","01","9","55","M","9","9","Y","PA","9","  "," "," ","2017","67","Philadelphia","67301"
"2017106858","1","1","1","0","03","12","01","1","17","M","0","1","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017106858","1","2","2","0","03","12","03","1","48","F","0","1","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017136936","1","1","1","0","03","01","01","1","41","M","0","1","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017137059","1","1","1","0","98","99","01","9","32","F","9","9","N","VA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127303","1","1","1","0","99","00","01","0","33","F","0","0","N","PA","1","  "," "," ","2017","67","Philadelphia","67301"
"2017127303","1","2","2","0","99","00","03","0","33","F","0","0","N","PA","1","  "," "," ","2017","67","Philadelphia","67301"
"2017127394","1","1","1","8","99","99","01","0","42","M","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127394","2","1","1","0","00","00","01","0","42","M","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127394","2","2","2","8","00","00","99","0","38","M","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127394","2","3","2","0","00","00","99","0","38","M","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127394","2","4","2","0","00","00","99","0","35","M","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127410","1","1","1","2","99","04","01","0","35","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127410","1","2","2","3","99","04","03","0","33","M","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127410","2","1","1","2","99","04","01","0","30","M","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127410","2","2","2","3","99","04","03","0","35","M","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017133929","1","1","1","0","99","99","01","0","32","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017133929","2","1","1","0","99","99","01","0","37","M","0","0","N","PA","2","  "," "," ","2017","67","Philadelphia","67301"
"2017133934","1","1","1","0","01","00","01","0","59","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017133934","2","1","1","8","03","00","01","0","34","M","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017133934","2","2","2","3","01","01","03","0","33","F","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017133934","2","3","2","3","00","00","06","0","4","F","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017133953","1","1","1","4","99","01","01","1","21","F","0","0","Y","PA","1","  "," "," ","2017","67","Philadelphia","67301"
"2017133984","1","1","1","0","00","00","01","0","67","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017133984","1","2","2","0","00","00","03","0","61","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017133993","1","1","1","0","99","00","01","0","65","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017133993","2","1","1","4","99","00","01","0","27","M","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017133993","2","2","2","4","99","00","03","0","25","M","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2018005504","1","1","1","3","99","00","01","0","53","M","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2018005504","2","1","1","0","99","00","01","0","42","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2018005527","1","1","1","0","99","01","01","0","39","M","0","0","N","PA","9","  "," "," ","2017","67","Philadelphia","67301"
"2018005527","2","1","1","0","99","00","01","0","24","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2018005527","3","1","1","0","99","00","01","0","24","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2018005530","1","1","1","0","99","99","01","0","65","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2018005530","2","1","1","0","00","00","01","0","52","F","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2018005541","1","1","1","0","00","00","01","0","77","F","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2018005541","2","1","1","8","03","00","01","0","88","M","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2018005676","1","1","1","9","99","99","01","1","99","U","0","1","N","ZZ","9","  "," "," ","2017","67","Philadelphia","67301"
"2018005676","2","2","1","0","00","04","01","1","21","M","0","1","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017117238","1","1","1","3","99","12","01","1","42","M","0","1","Y","PA","4","  "," "," ","2017","67","Philadelphia","67301"
"2017126798","1","1","1","0","03","02","01","0","22","F","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017126798","1","2","2","0","03","10","03","0","24","M","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127296","1","1","1","4","00","00","01","0","48","M","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127296","2","1","1","9","00","00","01","0","66","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127296","3","1","1","4","00","00","01","0","38","M","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127325","1","1","1","0","03","01","01","1","43","M","0","1","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127325","2","2","1","0","03","12","01","1","77","M","0","1","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127325","3","3","1","8","99","01","01","1","42","F","0","1","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127372","1","1","1","9","99","99","01","0","99","M","0","0","N","  ","9","  "," "," ","2017","67","Philadelphia","67301"
"2017127372","2","1","1","0","03","00","01","0","36","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
