"COUNTY","CRASH_YEAR","CRN","LANE_COUNT","OFFSET","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME","COUNTY_NAME","MUNICIPALITY"
"67","2017","2017091829","2 ","2161","N","3","2","3009","0040","35","RIDGE AV","Philadelphia","67301"
"67","2017","2017091835","02","","E","4","4","","","25","SOUTHAMPTON RD","Philadelphia","67301"
"67","2017","2017091835","3 ","0","N","3","2","0001","0380","45","ROOSEVELT BL","Philadelphia","67301"
"67","2017","2017091840","04","1118","W","4","2","1008","0060","25","LEVICK ST","Philadelphia","67301"
"67","2017","2017091840","02","499","S","3","2","0232","0032","25","OXFORD AV","Philadelphia","67301"
"67","2017","2017110467","2 ","1697","S","3","2","0001","0051","35","CITY AV","Philadelphia","67301"
"67","2017","2017057840","4 ","1801","N","3","1","0095","0144","55","DELAWARE EX","Philadelphia","67301"
"67","2017","2017091849","02","","W","3","4","","","25","FILBERT ST","Philadelphia","67301"
"67","2017","2017091849","02","","S","4","4","","","25","12TH ST","Philadelphia","67301"
"67","2017","2017091855","2 ","602","E","3","2","3032","0010","25","RACE ST","Philadelphia","67301"
"67","2017","2017045750","02","","W","3","4","","","25","BROWN ST","Philadelphia","67301"
"67","2017","2017058917","04","","W","3","4","","","45","BEN FRANKLIN BR","Philadelphia","67301"
"67","2017","2017059012","02","","N","3","4","","","25","HEALTH SCIENCES DR","Philadelphia","67301"
"67","2017","2017059012","02","","E","4","4","","","20","E SERVICE DR","Philadelphia","67301"
"67","2017","2017086953","02","","W","3","4","","","25","BLACK RD","Philadelphia","67301"
"67","2017","2017086953","04","","N","4","4","","","35","MARTIN LUTHER KING DR","Philadelphia","67301"
"67","2017","2017086959","2 ","1188","E","3","2","1018","0030","30","GRANT AV","Philadelphia","67301"
"67","2017","2017086959","02","","S","5","4","","","30","BLUE GRASS RD","Philadelphia","67301"
"67","2017","2017086959","2 ","1186","W","4","2","1018","0031","25","GRANT AV","Philadelphia","67301"
"67","2017","2017087117","02","","W","3","4","","","20","CHESTER AV","Philadelphia","67301"
"67","2017","2017087117","02","","S","4","4","","","20","61ST ST","Philadelphia","67301"
"67","2017","2017057884","3 ","1867","E","3","1","0676","0004","55","VINE STREET EX","Philadelphia","67301"
"67","2017","2017060455","02","","N","3","4","","","25","MATTHEWS ST","Philadelphia","67301"
"67","2017","2017060455","02","","E","4","4","","","25","CHELTEN AV","Philadelphia","67301"
"67","2017","2017060543","03","445","N","3","2","6001","0210","40","ROOSEVELT BL","Philadelphia","67301"
"67","2017","2017060563","01","","S","3","4","","","25","DARRAH ST","Philadelphia","67301"
"67","2017","2017060563","01","","E","4","4","","","25","FILLMORE ST","Philadelphia","67301"
"67","2017","2017080977","3 ","1335","E","3","1","0076","3470","50","SCHUYLKILL EX","Philadelphia","67301"
