"COUNTY","CRASH_YEAR","CRN","LANE_COUNT","OFFSET","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME","COUNTY_YEAR","MUNICIPALITY"
"67","2018","2018014888","4 ","1727","S","3","1","0095","0311","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018015002","01","","E","4","4","","","25","WALT WHITMAN RAMP RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018015002","03","","E","3","4","","","45","WALT WHITMAN BR","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018015042","01","","E","4","4","","","30","LUDLOW ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018015042","02","","S","3","4","","","30","39TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018015069","4 ","572","N","3","1","0095","0304","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018015082","3 ","7","E","3","1","0076","3470","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018015084","2 ","5055","E","3","1","0076","3444","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018015089","3 ","3097","S","3","1","0095","0165","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018015094","4 ","2041","S","3","1","0095","0275","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018015148","02","","N","3","4","","","25","41ST ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018015148","01","","W","4","4","","","25","SANSOM ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018015154","2 ","2036","S","3","2","0532","0041","35","BUSTLETON AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018015188","4 ","870","S","3","1","0095","0301","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018015208","4 ","1154","N","3","1","0095","0304","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018015809","01","","W","5","4","","","25","OXFORD ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018015809","3 ","526","N","3","2","0611","0050","30","BROAD ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018015809","3 ","526","S","4","2","0611","0051","30","BROAD ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018016279","06","131","W","3","2","8061","0760","25","RAMP RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018016307","02","","W","4","4","","","25","LOUDON ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018016307","02","","S","3","4","","","25","FRONT ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018016555","4 ","146","N","3","1","0095","0304","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018016654","02","","W","3","4","","","25","POWELTON AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018016762","3 ","2448","N","3","1","0095","0164","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018016805","3 ","796","W","3","1","0076","3431","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018016834","4 ","640","N","3","1","0095","0210","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
